Wavelength_nm,Relative_Intensity
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.00045
408,0.00203
409,0.00272
410,0.00284
411,0.00293
412,0.00427
413,0.00602
414,0.00773
415,0.00941
416,0.01141
417,0.01535
418,0.02076
419,0.02588
420,0.03119
421,0.03728
422,0.04358
423,0.05282
424,0.0629
425,0.07237
426,0.08416
427,0.09605
428,0.11079
429,0.12822
430,0.1439
431,0.17938
432,0.20311
433,0.22887
434,0.25399
435,0.28032
436,0.3109
437,0.34555
438,0.38044
439,0.41649
440,0.4603
441,0.49893
442,0.56666
443,0.6392
444,0.68729
445,0.73367
446,0.7979
447,0.85668
448,0.90365
449,0.94578
450,0.98192
451,0.99369
452,0.99906
453,0.98684
454,0.95054
455,0.89156
456,0.82918
457,0.77719
458,0.71516
459,0.66753
460,0.60896
461,0.56381
462,0.52994
463,0.50179
464,0.46855
465,0.43847
466,0.42104
467,0.40381
468,0.38847
469,0.37297
470,0.35721
471,0.34148
472,0.32409
473,0.30921
474,0.2975
475,0.2839
476,0.26861
477,0.26206
478,0.26037
479,0.2599
480,0.2607
481,0.26261
482,0.26583
483,0.26919
484,0.27385
485,0.27872
486,0.28633
487,0.29673
488,0.3054
489,0.30952
490,0.31398
491,0.32184
492,0.33257
493,0.34337
494,0.3504
495,0.36039
496,0.37203
497,0.38304
498,0.38754
499,0.39292
500,0.40569
501,0.41822
502,0.42548
503,0.43237
504,0.43788
505,0.44299
506,0.44838
507,0.45627
508,0.46313
509,0.46855
510,0.47343
511,0.47724
512,0.48043
513,0.48442
514,0.48932
515,0.49336
516,0.49461
517,0.49492
518,0.49604
519,0.49883
520,0.50241
521,0.50585
522,0.5093
523,0.51266
524,0.51497
525,0.51497
526,0.5162
527,0.51982
528,0.52456
529,0.52653
530,0.52738
531,0.53015
532,0.53435
533,0.53894
534,0.54414
535,0.54862
536,0.55229
537,0.55533
538,0.55821
539,0.56079
540,0.5627
541,0.56433
542,0.56519
543,0.56518
544,0.56599
545,0.56878
546,0.57218
547,0.57545
548,0.57881
549,0.58203
550,0.58531
551,0.58669
552,0.5885
553,0.58926
554,0.58931
555,0.58966
556,0.59092
557,0.59303
558,0.59679
559,0.60293
560,0.60904
561,0.61541
562,0.61884
563,0.62085
564,0.62118
565,0.61983
566,0.6197
567,0.62124
568,0.62442
569,0.62727
570,0.63017
571,0.63337
572,0.63688
573,0.63788
574,0.63659
575,0.63453
576,0.63243
577,0.63182
578,0.63313
579,0.6376
580,0.63852
581,0.63851
582,0.63774
583,0.63588
584,0.63404
585,0.63246
586,0.62967
587,0.62046
588,0.61453
589,0.612
590,0.61143
591,0.61188
592,0.61228
593,0.6107
594,0.60166
595,0.59459
596,0.59521
597,0.59559
598,0.59076
599,0.58279
600,0.58245
601,0.58391
602,0.5827
603,0.57935
604,0.57614
605,0.57288
606,0.56891
607,0.5592
608,0.55254
609,0.5513
610,0.55128
611,0.54916
612,0.54567
613,0.53849
614,0.5267
615,0.51611
616,0.51159
617,0.50763
618,0.50182
619,0.49434
620,0.48853
621,0.48344
622,0.47833
623,0.47405
624,0.46955
625,0.46735
626,0.46513
627,0.4533
628,0.43874
629,0.43161
630,0.42546
631,0.42145
632,0.41786
633,0.41108
634,0.40044
635,0.39097
636,0.38382
637,0.37469
638,0.36574
639,0.35902
640,0.35427
641,0.35065
642,0.34537
643,0.33474
644,0.32746
645,0.31983
646,0.3122
647,0.30253
648,0.29643
649,0.29219
650,0.28849
651,0.28168
652,0.27149
653,0.26373
654,0.25712
655,0.25088
656,0.24569
657,0.23975
658,0.23309
659,0.22474
660,0.22003
661,0.21509
662,0.21131
663,0.20794
664,0.20282
665,0.19258
666,0.18646
667,0.18286
668,0.17884
669,0.17206
670,0.16609
671,0.16135
672,0.15791
673,0.15382
674,0.14894
675,0.14306
676,0.13767
677,0.13481
678,0.13389
679,0.13326
680,0.12851
681,0.1216
682,0.11615
683,0.11113
684,0.10694
685,0.10328
686,0.10044
687,0.09878
688,0.0967
689,0.09351
690,0.08982
691,0.08873
692,0.08779
693,0.08529
694,0.08156
695,0.07834
696,0.07495
697,0.07218
698,0.07049
699,0.06833
700,0.0637
701,0.06158
702,0.06215
703,0.06283
704,0.06157
705,0.05781
706,0.05551
707,0.0555
708,0.05502
709,0.05301
710,0.05107
711,0.04926
712,0.04691
713,0.04377
714,0.04041
715,0.03792
716,0.03621
717,0.03427
718,0.03417
719,0.03368
720,0.03251
721,0.03155
722,0.03124
723,0.03118
724,0.02985
725,0.0281
726,0.02646
727,0.02638
728,0.02556
729,0.02381
730,0.02207
731,0.02026
732,0.01885
733,0.01861
734,0.01861
735,0.01704
736,0.01498
737,0.01575
738,0.01767
739,0.01777
740,0.01576
741,0.0147
742,0.0147
743,0.01469
744,0.01256
745,0.01041
746,0.01016
747,0.01032
748,0.01035
749,0.00939
750,0.0
